2021.4.10 20:12:31:144   leftController:(-0.28, 1.43, 0.27)  rightController:(0.01, 0.97, 0.35)  leftTracker:(-0.14, 0.22, 0.04)  rightTracker:(0.11, 0.22, 0.11)  headset:(-0.09, 1.59, 0.11)  leftControllerVel:(-0.39, 1.01, -0.63)  rightControllerVel:(-0.28, -0.06, -0.16)  leftTrackerVel:(-0.03, 0.00, -0.07)  rightTrackerVel:(-0.02, 0.03, -0.01)
2021.4.10 20:12:31:155   leftController:(-0.29, 1.44, 0.26)  rightController:(0.01, 0.97, 0.35)  leftTracker:(-0.14, 0.22, 0.04)  rightTracker:(0.11, 0.22, 0.11)  headset:(-0.09, 1.58, 0.11)  leftControllerVel:(-0.34, 0.96, -0.59)  rightControllerVel:(-0.27, -0.05, -0.15)  leftTrackerVel:(-0.03, 0.01, -0.07)  rightTrackerVel:(-0.01, 0.03, -0.01)
2021.4.10 20:12:31:173   leftController:(-0.29, 1.45, 0.25)  rightController:(0.01, 0.97, 0.35)  leftTracker:(-0.14, 0.22, 0.04)  rightTracker:(0.11, 0.22, 0.11)  headset:(-0.10, 1.58, 0.11)  leftControllerVel:(-0.30, 0.90, -0.55)  rightControllerVel:(-0.25, -0.06, -0.14)  leftTrackerVel:(-0.03, 0.00, -0.06)  rightTrackerVel:(-0.01, 0.03, -0.01)
2021.4.10 20:12:31:183   leftController:(-0.30, 1.46, 0.25)  rightController:(0.00, 0.96, 0.35)  leftTracker:(-0.14, 0.22, 0.04)  rightTracker:(0.11, 0.22, 0.11)  headset:(-0.10, 1.58, 0.11)  leftControllerVel:(-0.30, 0.87, -0.54)  rightControllerVel:(-0.23, -0.07, -0.13)  leftTrackerVel:(-0.03, 0.00, -0.06)  rightTrackerVel:(0.00, 0.03, -0.01)
2021.4.10 20:12:31:196   leftController:(-0.30, 1.47, 0.24)  rightController:(0.00, 0.96, 0.35)  leftTracker:(-0.14, 0.22, 0.04)  rightTracker:(0.11, 0.22, 0.11)  headset:(-0.11, 1.58, 0.11)  leftControllerVel:(-0.29, 0.78, -0.52)  rightControllerVel:(-0.22, -0.07, -0.13)  leftTrackerVel:(-0.03, 0.00, -0.05)  rightTrackerVel:(0.00, 0.03, -0.01)
2021.4.10 20:12:31:205   leftController:(-0.30, 1.48, 0.23)  rightController:(0.00, 0.96, 0.35)  leftTracker:(-0.14, 0.22, 0.04)  rightTracker:(0.11, 0.22, 0.11)  headset:(-0.11, 1.58, 0.11)  leftControllerVel:(-0.28, 0.73, -0.51)  rightControllerVel:(-0.22, -0.08, -0.12)  leftTrackerVel:(-0.03, 0.00, -0.05)  rightTrackerVel:(0.00, 0.03, -0.01)
2021.4.10 20:12:31:213   leftController:(-0.30, 1.48, 0.23)  rightController:(0.00, 0.96, 0.34)  leftTracker:(-0.14, 0.22, 0.04)  rightTracker:(0.11, 0.22, 0.11)  headset:(-0.12, 1.58, 0.11)  leftControllerVel:(-0.27, 0.69, -0.49)  rightControllerVel:(-0.21, -0.09, -0.12)  leftTrackerVel:(-0.02, 0.00, -0.05)  rightTrackerVel:(0.00, 0.03, -0.01)
2021.4.10 20:12:31:222   leftController:(-0.31, 1.49, 0.23)  rightController:(0.00, 0.96, 0.34)  leftTracker:(-0.15, 0.22, 0.04)  rightTracker:(0.11, 0.22, 0.11)  headset:(-0.12, 1.58, 0.11)  leftControllerVel:(-0.24, 0.66, -0.47)  rightControllerVel:(-0.20, -0.09, -0.11)  leftTrackerVel:(-0.02, 0.00, -0.04)  rightTrackerVel:(-0.01, 0.03, -0.01)
2021.4.10 20:12:31:233   leftController:(-0.31, 1.50, 0.22)  rightController:(-0.01, 0.96, 0.34)  leftTracker:(-0.15, 0.22, 0.04)  rightTracker:(0.11, 0.22, 0.11)  headset:(-0.13, 1.58, 0.11)  leftControllerVel:(-0.21, 0.60, -0.43)  rightControllerVel:(-0.19, -0.10, -0.10)  leftTrackerVel:(-0.02, -0.01, -0.03)  rightTrackerVel:(-0.01, 0.03, -0.02)
2021.4.10 20:12:31:244   leftController:(-0.31, 1.50, 0.22)  rightController:(-0.01, 0.96, 0.34)  leftTracker:(-0.15, 0.22, 0.03)  rightTracker:(0.11, 0.22, 0.11)  headset:(-0.13, 1.58, 0.11)  leftControllerVel:(-0.18, 0.55, -0.39)  rightControllerVel:(-0.18, -0.10, -0.09)  leftTrackerVel:(-0.02, -0.01, -0.03)  rightTrackerVel:(-0.01, 0.02, -0.02)
